title,year,author
Synthetic Difference-in-Differences,2021,"['Arkhangelsky, Dmitry', 'Athey, Susan', 'Hirshberg, David A.', 'Imbens, Guido W.', 'Wager, Stefan']"
Sectoral Media Focus and Aggregate Fluctuations,2021,"['Chahrour, Ryan', 'Nimark, Kristoffer', 'Pitschner, Stefan']"
"Product Innovation, Product Diversification, and Firm Growth: Evidence from Japan's Early Industrialization",2021,"['Braguinsky, Serguey', 'Ohyama, Atsushi', 'Okazaki, Tetsuji', 'Syverson, Chad']"
Venting Out: Exports during a Domestic Slump,2021,"['Almunia, Miguel', 'Antras, Pol', 'Lopez-Rodriguez, David', 'Morales, Eduardo']"
"Market Entry, Fighting Brands, and Tacit Collusion: Evidence from the French Mobile Telecommunications Market",2021,"['Bourreau, Marc', 'Sun, Yutec', 'Verboven, Frank']"
The Effect of High-Tech Clusters on the Productivity of Top Inventors,2021,"['Moretti, Enrico']"
From Mad Men to Maths Men: Concentration and Buyer Power in Online Advertising,2021,"['Decarolis, Francesco', 'Rovigatti, Gabriele']"
"Mistakes, Overconfidence, and the Effect of Sharing on Detecting Lies",2021,"['Serra-Garcia, Marta', 'Gneezy, Uri']"
Oligopolistic Price Leadership and Mergers: The United States Beer Industry,2021,"['Miller, Nathan H.', 'Sheu, Gloria', 'Weinberg, Matthew C.']"
"Media, Pulpit, and Populist Persuasion: Evidence from Father Coughlin",2021,"['Wang, Tianyi']"
Inattention and Switching Costs as Sources of Inertia in Medicare Part D,2021,"['Heiss, Florian', 'McFadden, Daniel', 'Winter, Joachim', 'Wuppermann, Amelie', 'Zhou, Bo']"
Daily Labor Supply and Adaptive Reference Points,2021,"['Thakral, Neil', 'To, Linh T.']"
Digitization and Pre-purchase Information: The Causal and Welfare Impacts of Reviews and Crowd Ratings,2021,"['Reimers, Imke', 'Waldfogel, Joel']"
Efficiency and Equity Impacts of Energy Subsidies,2021,"['Hahn, Robert W.', 'Metcalfe, Robert D.']"
When Does Regulation Distort Costs? Lessons from Fuel Procurement in US Electricity Generation: Reply,2021,"['Cicala, Steve']"
"Social Media, News Consumption, and Polarization: Evidence from a Field Experiment",2021,"[""Levy, Ro'ee""]"
Exchange Rates and Prices: Evidence from the 2015 Swiss Franc Appreciation,2021,"['Auer, Raphael', 'Burstein, Ariel', 'Lein, Sarah M.']"
The Nature of Firm Growth,2021,"['Sterk, Vincent', 'Sedlacek, Petr', 'Pugsley, Benjamin']"
Lack of Selection and Limits to Delegation: Firm Dynamics in Developing Countries,2021,"['Akcigit, Ufuk', 'Alp, Harun', 'Peters, Michael']"
Changing Business Dynamism and Productivity: Shocks versus Responsiveness,2020,"['Decker, Ryan A.', 'Haltiwanger, John', 'Jarmin, Ron S.', 'Miranda, Javier']"
