doi,sc_title,sc_issn,sc_pub_name,sc_vol,sc_issue,sc_page_range,sc_abstract_api_endpoint,sc_human_url,sc_pub_date,sc_open_access_status,sc_query_used
10.1257/aer.20201238,Team- Specific Human Capital and Team Performance: Evidence from Doctors,00028282,American Economic Review,111,12,3923-3962,https://api.elsevier.com/content/abstract/scopus_id/85125729295,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125729295&origin=inward,2021-12-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20181801,Prep School for Poor Kids: The Long- Run Impacts of Head Start on Human Capital and Economic Self- Sufficiency,00028282,American Economic Review,111,12,3963-4001,https://api.elsevier.com/content/abstract/scopus_id/85125693995,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125693995&origin=inward,2021-12-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.9767/BCREC.17.1.12473.22-31,Team-Specific Human Capital and Team Performance: Evidence from Doctors,00028282,American Economic Review,111,12,3923-3962,https://api.elsevier.com/content/abstract/scopus_id/85121932057,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121932057&origin=inward,2021-12-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.9767/BCREC.17.1.12366.32-45,M Equilibrium: A Theory of Beliefs and Choices in Games,00028282,American Economic Review,111,12,4002-4045,https://api.elsevier.com/content/abstract/scopus_id/85121929781,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121929781&origin=inward,2021-12-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.9767/BCREC.17.1.12174.1-12,Sectoral Media Focus and Aggregate Fluctuations,00028282,American Economic Review,111,12,3872-3922,https://api.elsevier.com/content/abstract/scopus_id/85121924840,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121924840&origin=inward,2021-12-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.9767/BCREC.17.1.12412.53-64,Prep School for Poor Kids: The Long-Run Impacts of Head Start on Human Capital and Economic Self-Sufficiency,00028282,American Economic Review,111,12,3963-4001,https://api.elsevier.com/content/abstract/scopus_id/85121924664,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121924664&origin=inward,2021-12-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.9767/BCREC.17.1.12392.65-77,"Product Innovation, Product Diversification, and Firm Growth: Evidence from Japan's Early Industrialization",00028282,American Economic Review,111,12,3795-3826,https://api.elsevier.com/content/abstract/scopus_id/85121923417,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121923417&origin=inward,2021-12-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.9767/BCREC.17.1.12501.88-102,Tax Administration versus Tax Rates: Evidence from Corporate Taxation in Indonesia,00028282,American Economic Review,111,12,3827-3871,https://api.elsevier.com/content/abstract/scopus_id/85121912966,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121912966&origin=inward,2021-12-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.9767/BCREC.17.1.12421.78-87,Delegation in Veto Bargaining,00028282,American Economic Review,111,12,4046-4087,https://api.elsevier.com/content/abstract/scopus_id/85121898924,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121898924&origin=inward,2021-12-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.9767/BCREC.17.1.12345.46-52,Synthetic Difference-in-Differences,00028282,American Economic Review,111,12,4088-4118,https://api.elsevier.com/content/abstract/scopus_id/85117467804,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117467804&origin=inward,2021-12-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20190540,"Market entry, fighting brands, and tacit collusion: Evidence from the French mobile telecommunications market",00028282,American Economic Review,111,11,3459-3499,https://api.elsevier.com/content/abstract/scopus_id/85119530699,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119530699&origin=inward,2021-11-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20181707,"Incentive constrained risk sharing, segmentation, and asset pricing",00028282,American Economic Review,111,11,3575-3610,https://api.elsevier.com/content/abstract/scopus_id/85119520050,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119520050&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20190221,The causal interpretation of two-stage least squares with multiple instrumental variables,00028282,American Economic Review,111,11,3663-3698,https://api.elsevier.com/content/abstract/scopus_id/85119493887,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119493887&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/AER.20191422,The intergenerational effects of a large wealth shock: White southerners after the civil war,00028282,American Economic Review,111,11,3767-3794,https://api.elsevier.com/content/abstract/scopus_id/85119437369,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119437369&origin=inward,2021-11-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20201877,Labor supply responses to learning the tax and benefit schedule,00028282,American Economic Review,111,11,3733-3766,https://api.elsevier.com/content/abstract/scopus_id/85119214400,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119214400&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20150004,Bargaining under the illusion of transparency,00028282,American Economic Review,111,11,3500-3539,https://api.elsevier.com/content/abstract/scopus_id/85119191278,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119191278&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20181151,Naïve learning with uninformed agents,00028282,American Economic Review,111,11,3540-3574,https://api.elsevier.com/content/abstract/scopus_id/85119170746,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119170746&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20201769,Constrained pseudo-market equilibrium,00028282,American Economic Review,111,11,3699-3732,https://api.elsevier.com/content/abstract/scopus_id/85109140420,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85109140420&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20181853,Venting out: Exports during a domestic slump,00028282,American Economic Review,111,11,3611-3662,https://api.elsevier.com/content/abstract/scopus_id/85106376644,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85106376644&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/AER.20200154,Neighborhood-Based Information Costs,00028282,American Economic Review,111,10,3225-3255,https://api.elsevier.com/content/abstract/scopus_id/85121659178,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121659178&origin=inward,2021-10-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/AER.20191277,The Effect of High-Tech Clusters on the Productivity of Top Inventors,00028282,American Economic Review,111,10,3328-3375,https://api.elsevier.com/content/abstract/scopus_id/85121642058,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121642058&origin=inward,2021-10-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/AER.20151723,Quantifying the Supply Response of Private Schools to Public Policies,00028282,American Economic Review,111,10,3376-3417,https://api.elsevier.com/content/abstract/scopus_id/85121637304,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121637304&origin=inward,2021-10-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/AER.20201385,Labor Rationing,00028282,American Economic Review,111,10,3184-3224,https://api.elsevier.com/content/abstract/scopus_id/85121636329,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121636329&origin=inward,2021-10-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/AER.20201062,Jobs for Sale: Corruption and Misallocation in Hiring,00028282,American Economic Review,111,10,3093-3122,https://api.elsevier.com/content/abstract/scopus_id/85121608330,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121608330&origin=inward,2021-10-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/AER.20190811,From Mad Men to Maths Men: Concentration and Buyer Power in Online Advertising,00028282,American Economic Review,111,10,3299-3327,https://api.elsevier.com/content/abstract/scopus_id/85121591501,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121591501&origin=inward,2021-10-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/AER.20190913,Oligopolistic Price Leadership and Mergers: The United States Beer Industry,00028282,American Economic Review,111,10,3123-3159,https://api.elsevier.com/content/abstract/scopus_id/85121579730,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121579730&origin=inward,2021-10-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/AER.20200988,Projection of Private Values in Auctions,00028282,American Economic Review,111,10,3256-3298,https://api.elsevier.com/content/abstract/scopus_id/85118052890,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118052890&origin=inward,2021-10-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/AER.20191295,"Mistakes, Overconfidence, and the Effect of Sharing on Detecting Lies",00028282,American Economic Review,111,10,3160-3183,https://api.elsevier.com/content/abstract/scopus_id/85114717184,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114717184&origin=inward,2021-10-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/AER.20181596,Assortative Matching or Exclusionary Hiring? The Impact of Employment and Pay Policies on Racial Wage Differences in Brazil,00028282,American Economic Review,111,10,3418-3457,https://api.elsevier.com/content/abstract/scopus_id/85111631115,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111631115&origin=inward,2021-10-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20200513,"Media, pulpit, and populist persuasion: Evidence from father coughlin",00028282,American Economic Review,111,9,3064-3092,https://api.elsevier.com/content/abstract/scopus_id/85114045265,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114045265&origin=inward,2021-09-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20170471,Inattention and switching costs as sources of inertia in medicare part d,00028282,American Economic Review,111,9,2737-2781,https://api.elsevier.com/content/abstract/scopus_id/85114044048,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114044048&origin=inward,2021-09-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20201692,Justified communication equilibrium,00028282,American Economic Review,111,9,3004-3034,https://api.elsevier.com/content/abstract/scopus_id/85114032678,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114032678&origin=inward,2021-09-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20200523,The challenges of universal health insurance in developing countries: Experimental evidence from indonesia's national health insurance,00028282,American Economic Review,111,9,3035-3063,https://api.elsevier.com/content/abstract/scopus_id/85114026508,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114026508&origin=inward,2021-09-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20190197,Implementation by Vote- Buying Mechanisms,00028282,American Economic Review,111,9,2811-2828,https://api.elsevier.com/content/abstract/scopus_id/85114023560,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114023560&origin=inward,2021-09-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20190415,The effects of parental and sibling incarceration: Evidence from ohio,00028282,American Economic Review,111,9,2926-2963,https://api.elsevier.com/content/abstract/scopus_id/85114021258,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114021258&origin=inward,2021-09-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20181857,Mortgage prepayment and path-dependent effects of monetary policy,00028282,American Economic Review,111,9,2829-2878,https://api.elsevier.com/content/abstract/scopus_id/85113695724,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85113695724&origin=inward,2021-09-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20190672,From weber to kafka: Political instability and the overproduction of laws,00028282,American Economic Review,111,9,2964-3003,https://api.elsevier.com/content/abstract/scopus_id/85110002453,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85110002453&origin=inward,2021-09-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20191432,Asymmetric attention,00028282,American Economic Review,111,9,2879-2925,https://api.elsevier.com/content/abstract/scopus_id/85109800468,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85109800468&origin=inward,2021-09-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20180517,The risk-adjusted carbon price,00028282,American Economic Review,111,9,2782-2810,https://api.elsevier.com/content/abstract/scopus_id/85107996864,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107996864&origin=inward,2021-09-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20160868,Lapse-based insurance,00028282,American Economic Review,111,8,2377,https://api.elsevier.com/content/abstract/scopus_id/85111776049,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111776049&origin=inward,2021-08-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20170768,Daily labor supply and adaptive reference points,00028282,American Economic Review,111,8,2417-2443,https://api.elsevier.com/content/abstract/scopus_id/85111769203,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111769203&origin=inward,2021-08-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20190516,Targeting in-kind transfers through market design: A revealed preference analysis of public housing allocation,00028282,American Economic Review,111,8,2660-2696,https://api.elsevier.com/content/abstract/scopus_id/85111768209,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111768209&origin=inward,2021-08-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
10.1257/aer.20171671,"The long-run effects of childhood insurance coverage: Medicaid implementation, adult health, and labor market outcomes",00028282,American Economic Review,111,8,2550-2593,https://api.elsevier.com/content/abstract/scopus_id/85111763050,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111763050&origin=inward,2021-08-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800028282%29&date=1990-2021
