doi,sc_title,sc_issn,sc_pub_name,sc_vol,sc_issue,sc_page_range,sc_abstract_api_endpoint,sc_human_url,sc_pub_date,sc_open_access_status,sc_query_used
10.3982/ECTA16228,Pairwise Stable Matching in Large Economies,00129682,Econometrica,89,6,2929-2974,https://api.elsevier.com/content/abstract/scopus_id/85118958722,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118958722&origin=inward,2021-11-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800129682%29&date=1990-2021
10.3982/ECTA17891,The Reputation Trap,00129682,Econometrica,89,6,2659-2678,https://api.elsevier.com/content/abstract/scopus_id/85118945233,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118945233&origin=inward,2021-11-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800129682%29&date=1990-2021
10.3982/ECTA16930,Capital Buffers in a Quantitative Model of Banking Industry Dynamics,00129682,Econometrica,89,6,2975-3023,https://api.elsevier.com/content/abstract/scopus_id/85118931133,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118931133&origin=inward,2021-11-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800129682%29&date=1990-2021
10.3982/ECTA16295,Investment Demand and Structural Change,00129682,Econometrica,89,6,2751-2785,https://api.elsevier.com/content/abstract/scopus_id/85118928853,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118928853&origin=inward,2021-11-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800129682%29&date=1990-2021
10.3982/ECTA17985,Econometrics for Decision Making: Building Foundations Sketched by Haavelmo and Wald,00129682,Econometrica,89,6,2827-2853,https://api.elsevier.com/content/abstract/scopus_id/85118901587,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118901587&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800129682%29&date=1990-2021
10.3982/ECTA16537,Exchange Design and Efficiency,00129682,Econometrica,89,6,2887-2928,https://api.elsevier.com/content/abstract/scopus_id/85118900112,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118900112&origin=inward,2021-11-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800129682%29&date=1990-2021
10.3982/ECTA11738,Are Poor Cities Cheap for Everyone? Non-Homotheticity and the Cost of Living Across U.S. Cities,00129682,Econometrica,89,6,2679-2715,https://api.elsevier.com/content/abstract/scopus_id/85118873713,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118873713&origin=inward,2021-11-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800129682%29&date=1990-2021
10.3982/ECTA15318,Learning With Heterogeneous Misspecified Models: Characterization and Robustness,00129682,Econometrica,89,6,3025-3077,https://api.elsevier.com/content/abstract/scopus_id/85118826157,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118826157&origin=inward,2021-11-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800129682%29&date=1990-2021
10.3982/ECTA18461,Team Players: How Social Skills Improve Team Performance,00129682,Econometrica,89,6,2637-2657,https://api.elsevier.com/content/abstract/scopus_id/85115787834,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115787834&origin=inward,2021-11-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800129682%29&date=1990-2021
10.3982/ECTA18659,Learning Dynamics in Social Networks,00129682,Econometrica,89,6,2601-2635,https://api.elsevier.com/content/abstract/scopus_id/85112390750,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112390750&origin=inward,2021-11-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800129682%29&date=1990-2021
