level_0,index,doi,sc_title,sc_issn,sc_pub_name,sc_vol,sc_issue,sc_page_range,sc_abstract_api_endpoint,sc_human_url,sc_pub_date,sc_open_access_status,sc_query_used,sc_author_id,sc_author_given_name,sc_author_last_name,sc_author_affil_id,sc_author_affil_indexed,sc_grant_text,sc_funding_text,sc_funding_agency,sc_author_indexed_name,sc_abstract_text
0,0,10.1086/716564,Financial development and international trade,00223808,Journal of Political Economy,129,12,3405-3446,https://api.elsevier.com/content/abstract/scopus_id/85117751382,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117751382&origin=inward,2021-12-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021,55747436800,Fernando,Leibovici,60104179,"Federal Reserve Bank of St. Louis, USA",SCOPUS FAILURE,SCOPUS FAILURE,SCOPUS FAILURE,Leibovici F.,"© 2021 The University of Chicago. All rights reserved.This paper studies the industry-level and aggregate implications of financial development on international trade. I set up a multi-industry general equilibrium model of international trade with input-output linkages and heterogeneous firms subject to financial frictions. Industries differ in capital intensity, which leads to differences in external finance dependence. The model is parameterized to match key features of firm-level data. Financial development leads to substantial reallocation of international trade shares from labor-to capital-intensive industries, with minor effects at the aggregate level. These findings are consistent with estimates from cross-country industry-level and aggregate data."
1,1,10.1086/716563,Efficiency and foreclosure effects of vertical rebates: Empirical evidence,00223808,Journal of Political Economy,129,12,3357-3404,https://api.elsevier.com/content/abstract/scopus_id/85117518428,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117518428&origin=inward,2021-12-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021,57220075172,Christopher T.,Conlon,60020337+60108316,"New York University Stern and National Bureau of Economic Research, USA",SCOPUS FAILURE,"of Economics), Massachusetts Institute of Technology, the University of Notre Dame, Ohio State University, Pennsylvania State University, Rochester University, Stanford University (Graduate School of Business and the Department of Economics), State University of New York Stony Brook, Texas A & M University, Toulouse School of Economics, Tufts University, Universitat Autonoma de Barcelona, Universitat Pompeu Fabra, University College London, the University of Southern California, the University of Texas at Austin, the University of Toronto, the University of Western Ontario, the University of Virginia, Washington University in St. Louis, Yale University, and participants at the Bates White and Quantitative Marketing and Economics conferences and the Workshop on Conditional Pricing Practices (held jointly by the Department of Justice and the Federal Trade Commission), for helpful comments. We thank Adam Kapor and Sharon Traiberman for excellent research assistance in running and analyzing the field experiment utilized in this research. Financial support for this research was generously provided through National Science Foundation grant SES-0617896. Any remaining errors are our own. Data are provided as supplementary material online. This paper was edited by Ali Hortaçsu.",SCOPUS FAILURE,Conlon C.T.,"© 2021 The University of Chicago. All rights reserved.In many industries, upstream manufacturers pay downstream retailers for achieving quantity or market share targets. These “vertical rebates” may mitigate downstream moral hazard by inducing greater retail effort but may also incentivize retailers to drop competing products. We study these offsetting effects empirically for a rebate paid to one retailer. Using a field experiment, we exogenously vary the outcome of retailer effort. We estimate models of consumer choice and retailer behavior to quantify the rebate’s effect on retail assortment and effort. We find that the rebate is designed to exclude a competing product and fails to maximize social surplus."
1,1,10.1086/716563,Efficiency and foreclosure effects of vertical rebates: Empirical evidence,00223808,Journal of Political Economy,129,12,3357-3404,https://api.elsevier.com/content/abstract/scopus_id/85117518428,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117518428&origin=inward,2021-12-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021,7102512819,Julie Holland,Mortimer,60020337+60031117,"Boston College and National Bureau of Economic Research, USA",SCOPUS FAILURE,"of Economics), Massachusetts Institute of Technology, the University of Notre Dame, Ohio State University, Pennsylvania State University, Rochester University, Stanford University (Graduate School of Business and the Department of Economics), State University of New York Stony Brook, Texas A & M University, Toulouse School of Economics, Tufts University, Universitat Autonoma de Barcelona, Universitat Pompeu Fabra, University College London, the University of Southern California, the University of Texas at Austin, the University of Toronto, the University of Western Ontario, the University of Virginia, Washington University in St. Louis, Yale University, and participants at the Bates White and Quantitative Marketing and Economics conferences and the Workshop on Conditional Pricing Practices (held jointly by the Department of Justice and the Federal Trade Commission), for helpful comments. We thank Adam Kapor and Sharon Traiberman for excellent research assistance in running and analyzing the field experiment utilized in this research. Financial support for this research was generously provided through National Science Foundation grant SES-0617896. Any remaining errors are our own. Data are provided as supplementary material online. This paper was edited by Ali Hortaçsu.",SCOPUS FAILURE,Mortimer J.H.,"© 2021 The University of Chicago. All rights reserved.In many industries, upstream manufacturers pay downstream retailers for achieving quantity or market share targets. These “vertical rebates” may mitigate downstream moral hazard by inducing greater retail effort but may also incentivize retailers to drop competing products. We study these offsetting effects empirically for a rebate paid to one retailer. Using a field experiment, we exogenously vary the outcome of retailer effort. We estimate models of consumer choice and retailer behavior to quantify the rebate’s effect on retail assortment and effort. We find that the rebate is designed to exclude a competing product and fails to maximize social surplus."
2,2,10.1086/716562,"Child’s gender, young fathers’ crime, and spillover effects in criminal behavior",00223808,Journal of Political Economy,129,12,3261-3301,https://api.elsevier.com/content/abstract/scopus_id/85117491186,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117491186&origin=inward,2021-12-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021,7004410022,Christian,Dustmann,60022148,"University College London and Centre for Research and Analysis of Migration, USA",SCOPUS FAILURE,"We thank James Heckman, Courtney Brell, and three anonymous referees for constructive and helpful comments and suggestions. Dustmann acknowledges funding by a European Research Council (ERC) advanced grant (MCLPS 833861), the Deutsche Forschungsge-meinschaft (DFG) grant 1024/1-2 AOBJ:642097, and the NORFACE (New Opportunities for Research Funding Agency Cooperation in Europe) program. Information about the data is provided as supplementary material online. This paper was edited by James Heckman.",SCOPUS FAILURE,Dustmann C.,"© 2021 The University of Chicago. All rights reserved.Men who father their first child at a very young age are convicted of significantly fewer crimes in the first years after birth if the child is a son rather than a daughter. This leads to behavioral spillovers that reduce criminal convictions among other young men living in the same neighborhood, with the resulting crime multipliers affecting peers’ crime even after the primary impact on the focal individual has dissipated. Through social multipliers, prevention policies that target potential criminals at an early stage, therefore, lead to larger reductions in the cost of crime than suggested by primary effects alone."
2,2,10.1086/716562,"Child’s gender, young fathers’ crime, and spillover effects in criminal behavior",00223808,Journal of Political Economy,129,12,3261-3301,https://api.elsevier.com/content/abstract/scopus_id/85117491186,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117491186&origin=inward,2021-12-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021,56825986300,Rasmus,Landersø,125545736,"Rockwool Foundation Research Unit, USA",SCOPUS FAILURE,"We thank James Heckman, Courtney Brell, and three anonymous referees for constructive and helpful comments and suggestions. Dustmann acknowledges funding by a European Research Council (ERC) advanced grant (MCLPS 833861), the Deutsche Forschungsge-meinschaft (DFG) grant 1024/1-2 AOBJ:642097, and the NORFACE (New Opportunities for Research Funding Agency Cooperation in Europe) program. Information about the data is provided as supplementary material online. This paper was edited by James Heckman.",SCOPUS FAILURE,Landersø R.,"© 2021 The University of Chicago. All rights reserved.Men who father their first child at a very young age are convicted of significantly fewer crimes in the first years after birth if the child is a son rather than a daughter. This leads to behavioral spillovers that reduce criminal convictions among other young men living in the same neighborhood, with the resulting crime multipliers affecting peers’ crime even after the primary impact on the focal individual has dissipated. Through social multipliers, prevention policies that target potential criminals at an early stage, therefore, lead to larger reductions in the cost of crime than suggested by primary effects alone."
3,3,10.1086/716559,Forecast hedging and calibration,00223808,Journal of Political Economy,129,12,3447-3490,https://api.elsevier.com/content/abstract/scopus_id/85117047786,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117047786&origin=inward,2021-12-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021,7403219373,Dean P.,Foster,60076757,"Amazon, USA",SCOPUS FAILURE,SCOPUS FAILURE,SCOPUS FAILURE,Foster D.P.,"© 2021 The University of Chicago. All rights reserved.Calibration means that forecasts and average realized frequencies are close. We develop the concept of forecast hedging, which consists of choosing the forecasts so as to guarantee that the expected track record can only improve. This yields all the calibration results by the same simple basic argument while differentiating between them by the forecast-hedging tools used: deterministic and fixed point based versus stochastic and minimax based. Additional contributions are an improved definition of continuous calibration, ensuing game dynamics that yield Nash equilibria in the long run, and a new calibrated forecasting procedure for binary events that is simpler than all known such procedures."
3,3,10.1086/716559,Forecast hedging and calibration,00223808,Journal of Political Economy,129,12,3447-3490,https://api.elsevier.com/content/abstract/scopus_id/85117047786,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117047786&origin=inward,2021-12-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021,7202601275,Sergiu,Hart,60007903,"Hebrew University of Jerusalem, ISR",SCOPUS FAILURE,SCOPUS FAILURE,SCOPUS FAILURE,Hart S.,"© 2021 The University of Chicago. All rights reserved.Calibration means that forecasts and average realized frequencies are close. We develop the concept of forecast hedging, which consists of choosing the forecasts so as to guarantee that the expected track record can only improve. This yields all the calibration results by the same simple basic argument while differentiating between them by the forecast-hedging tools used: deterministic and fixed point based versus stochastic and minimax based. Additional contributions are an improved definition of continuous calibration, ensuing game dynamics that yield Nash equilibria in the long run, and a new calibrated forecasting procedure for binary events that is simpler than all known such procedures."
4,4,10.1086/716561,How does incarceration affect reoffending? Estimating the dose-response function,00223808,Journal of Political Economy,129,12,3302-3356,https://api.elsevier.com/content/abstract/scopus_id/85116617283,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85116617283&origin=inward,2021-12-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021,57203779235,Evan K.,Rose,60029278,"University of Chicago, USA",SCOPUS FAILURE,"Juliana Londoño-Vélez, Justin McCrary, Conrad Miller, Allison Nichols, Jonathan Roth, Emmanuel Saez, Andres Santos, Jasjeet S. Sekhon, and Danny Yagan for helpful comments and discussions. We thank Bocar Ba and Sam Norris for helpful and constructive comments as conference discussants. We also thank conference and seminar participants at Harvard University; Opportunity Insights; the University of California, San Diego; the University of California, Los Angeles; the University of Michigan at Ann Arbor; the Chicago Crime Lab; the Society of Labor Economics Annual Meeting 2019; the Conference on the Economics of Crime and Justice 2019; the University of California, Irvine; the University of Chicago Economics; the University of Chicago Harris School of Public Policy; the 28th Annual Meeting of the American Law and Economic Association; the University of California, Berkeley Labor Seminar; the University of California, Berkeley Public Finance Lunch Seminar; the All California Labor Conference 2018; and the 13th Annual Conference on Empirical Legal Studies for helpful comments. This paper supersedes a previous draft titled “Does Incarceration Increase Crime?” We gratefully acknowledge financial support from the Center for Equitable Growth. Shem-Tov also acknowledges funding from the US Bureau of Justice Statistics. This paper was edited by Magne Mogstad.",SCOPUS FAILURE,Rose E.K.,"© 2021 The University of Chicago. All rights reserved.We study the causal effect of incarceration on reoffending using discontinuities in North Carolina’s sentencing guidelines. A regression discontinuity analysis shows that 1 year of incarceration causes a reduction in the likelihood of being reincarcerated within 3, 5, and 8 years from sentencing by 44%, 29%, and 21%, respectively. To parse the potentially heterogeneous dose response relationship underlying these effects, we develop an econometric model of prison sentences and recidivism. We find that incarceration has meaningful reoffending-reducing average effects that diminish in incarceration length. As a result, budget-neutral reductions in sentence length combined with increases in incarceration rates can decrease recidivism."
4,4,10.1086/716561,How does incarceration affect reoffending? Estimating the dose-response function,00223808,Journal of Political Economy,129,12,3302-3356,https://api.elsevier.com/content/abstract/scopus_id/85116617283,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85116617283&origin=inward,2021-12-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021,55769039600,Yotam,Shem-Tov,60027550,"University of California, Los Angeles, USA",SCOPUS FAILURE,"Juliana Londoño-Vélez, Justin McCrary, Conrad Miller, Allison Nichols, Jonathan Roth, Emmanuel Saez, Andres Santos, Jasjeet S. Sekhon, and Danny Yagan for helpful comments and discussions. We thank Bocar Ba and Sam Norris for helpful and constructive comments as conference discussants. We also thank conference and seminar participants at Harvard University; Opportunity Insights; the University of California, San Diego; the University of California, Los Angeles; the University of Michigan at Ann Arbor; the Chicago Crime Lab; the Society of Labor Economics Annual Meeting 2019; the Conference on the Economics of Crime and Justice 2019; the University of California, Irvine; the University of Chicago Economics; the University of Chicago Harris School of Public Policy; the 28th Annual Meeting of the American Law and Economic Association; the University of California, Berkeley Labor Seminar; the University of California, Berkeley Public Finance Lunch Seminar; the All California Labor Conference 2018; and the 13th Annual Conference on Empirical Legal Studies for helpful comments. This paper supersedes a previous draft titled “Does Incarceration Increase Crime?” We gratefully acknowledge financial support from the Center for Equitable Growth. Shem-Tov also acknowledges funding from the US Bureau of Justice Statistics. This paper was edited by Magne Mogstad.",SCOPUS FAILURE,Shem-Tov Y.,"© 2021 The University of Chicago. All rights reserved.We study the causal effect of incarceration on reoffending using discontinuities in North Carolina’s sentencing guidelines. A regression discontinuity analysis shows that 1 year of incarceration causes a reduction in the likelihood of being reincarcerated within 3, 5, and 8 years from sentencing by 44%, 29%, and 21%, respectively. To parse the potentially heterogeneous dose response relationship underlying these effects, we develop an econometric model of prison sentences and recidivism. We find that incarceration has meaningful reoffending-reducing average effects that diminish in incarceration length. As a result, budget-neutral reductions in sentence length combined with increases in incarceration rates can decrease recidivism."
5,5,10.1086/716560,Goods and factor market integration: A quantitative assessment of the eu enlargement,00223808,Journal of Political Economy,129,12,3491-3545,https://api.elsevier.com/content/abstract/scopus_id/85110489524,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85110489524&origin=inward,2021-12-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021,55343807000,Lorenzo,Caliendo,60005455,"Yale University, USA",SCOPUS FAILURE,"Schott, Daniel Sturm, Sharon Traiberman, David Weinstein, three anonymous referees, and many seminar participants for useful conversations and comments. Luca David Opromolla acknowledges financial support from FCT—Fundação para a Ciência e Tecnologia (Portugal) and national funding through research grant UIDB/05069/2020; he also thanks the hospitality of the Department of Economics at the University of Maryland, where part of this research was conducted. Opromolla is also affiliated with the CEPR (Center for Economic Policy Research), the CESifo (Center for Economic Studies and ifo Institute for Economic Research), the Ostrom Workshop, Economics for Policy at Nova School of Business and Economics, and UECE/REM-ISEG. The analysis, opinions, and findings represent the views of the authors; they are not necessarily those of Banco de Portugal or the Eurosystem. This paper was edited by Ali Hortaçsu.",SCOPUS FAILURE,Caliendo L.,"© 2021 The University of Chicago. All rights reserved.We build a multicountry dynamic general equilibrium model to study the economic effects of the 2004 enlargement of the European Union. In our model, trade is costly and households of different skills and nationalities face costly forward-looking migration decisions. We exploit the timing of migration policy changes to identify the changes in migration costs. We find that the changes in migration and trade policy resulted in aggregate welfare gains but with heterogeneous effects across skill groups. We study the interaction between trade and migration policies and highlight the importance of trade for quantifying the welfare and migration effects of labor market integration."
