doi,sc_title,sc_issn,sc_pub_name,sc_vol,sc_issue,sc_page_range,sc_abstract_api_endpoint,sc_human_url,sc_pub_date,sc_open_access_status,sc_query_used
10.1086/716564,Financial development and international trade,00223808,Journal of Political Economy,129,12,3405-3446,https://api.elsevier.com/content/abstract/scopus_id/85117751382,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117751382&origin=inward,2021-12-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021
10.1086/716563,Efficiency and foreclosure effects of vertical rebates: Empirical evidence,00223808,Journal of Political Economy,129,12,3357-3404,https://api.elsevier.com/content/abstract/scopus_id/85117518428,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117518428&origin=inward,2021-12-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021
10.1086/716562,"Child’s gender, young fathers’ crime, and spillover effects in criminal behavior",00223808,Journal of Political Economy,129,12,3261-3301,https://api.elsevier.com/content/abstract/scopus_id/85117491186,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117491186&origin=inward,2021-12-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021
10.1086/716559,Forecast hedging and calibration,00223808,Journal of Political Economy,129,12,3447-3490,https://api.elsevier.com/content/abstract/scopus_id/85117047786,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117047786&origin=inward,2021-12-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021
10.1086/716561,How does incarceration affect reoffending? Estimating the dose-response function,00223808,Journal of Political Economy,129,12,3302-3356,https://api.elsevier.com/content/abstract/scopus_id/85116617283,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85116617283&origin=inward,2021-12-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021
10.1086/716560,Goods and factor market integration: A quantitative assessment of the eu enlargement,00223808,Journal of Political Economy,129,12,3491-3545,https://api.elsevier.com/content/abstract/scopus_id/85110489524,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85110489524&origin=inward,2021-12-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021
10.1086/716105,Coalition formation in legislative bargaining,00223808,Journal of Political Economy,129,11,3206-3258,https://api.elsevier.com/content/abstract/scopus_id/85115143527,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115143527&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021
10.1086/715849,Directed technical change as a response to natural resource scarcity,00223808,Journal of Political Economy,129,11,3039-3072,https://api.elsevier.com/content/abstract/scopus_id/85114297018,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114297018&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021
10.1086/716104,Comparison of decisions under unknown experiments,00223808,Journal of Political Economy,129,11,3185-3205,https://api.elsevier.com/content/abstract/scopus_id/85114169821,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114169821&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021
10.1086/715848,Market structure and competition in airline markets,00223808,Journal of Political Economy,129,11,2995-3038,https://api.elsevier.com/content/abstract/scopus_id/85113925322,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85113925322&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800223808%29&date=1990-2021
