doi,sc_title,sc_issn,sc_pub_name,sc_vol,sc_issue,sc_page_range,sc_abstract_api_endpoint,sc_human_url,sc_pub_date,sc_open_access_status,sc_query_used
10.1093/qje/qjaa040,3G Internet and Confidence in Government,00335533,Quarterly Journal of Economics,136,4,2533-2613,https://api.elsevier.com/content/abstract/scopus_id/85121390068,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121390068&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800335533%29&date=1990-2021
10.1093/qje/qjaa045,Managing Expectations: Instruments Versus Targets,00335533,Quarterly Journal of Economics,136,4,2467-2532,https://api.elsevier.com/content/abstract/scopus_id/85121371283,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121371283&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800335533%29&date=1990-2021
10.1093/qje/qjab023,Hall of Mirrors: Corporate Philanthropy and Strategic Advocacy,00335533,Quarterly Journal of Economics,136,4,2413-2465,https://api.elsevier.com/content/abstract/scopus_id/85121364476,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121364476&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800335533%29&date=1990-2021
10.1093/qje/qjab009,Building Social Cohesion in Ethnically Mixed Schools: An Intervention on Perspective Taking,00335533,Quarterly Journal of Economics,136,4,2147-2194,https://api.elsevier.com/content/abstract/scopus_id/85121340379,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121340379&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800335533%29&date=1990-2021
10.1093/qje/qjab029,The Allocation of Authority in Organizations: A Field Experiment with Bureaucrats,00335533,Quarterly Journal of Economics,136,4,2195-2242,https://api.elsevier.com/content/abstract/scopus_id/85121339906,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121339906&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800335533%29&date=1990-2021
10.1093/qje/qjab030,The Long-Run Impact of the Dissolution of the English Monasteries,00335533,Quarterly Journal of Economics,136,4,2093-2145,https://api.elsevier.com/content/abstract/scopus_id/85121338984,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121338984&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800335533%29&date=1990-2021
10.1093/qje/qjab034,"Identity, Beliefs, and Political Conflict",00335533,Quarterly Journal of Economics,136,4,2371-2411,https://api.elsevier.com/content/abstract/scopus_id/85121194170,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121194170&origin=inward,2021-11-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800335533%29&date=1990-2021
10.1093/qje/qjab033,Understanding Tax Policy: How do People Reason?,00335533,Quarterly Journal of Economics,136,4,2309-2369,https://api.elsevier.com/content/abstract/scopus_id/85120301954,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120301954&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800335533%29&date=1990-2021
10.1093/qje/qjab021,"Concessions, Violence, and Indirect Rule: Evidence from the Congo Free State",00335533,Quarterly Journal of Economics,136,4,2047-2091,https://api.elsevier.com/content/abstract/scopus_id/85110046137,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85110046137&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800335533%29&date=1990-2021
10.1093/qje/qjab003,Folklore,00335533,Quarterly Journal of Economics,136,4,1993-2046,https://api.elsevier.com/content/abstract/scopus_id/85109882294,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85109882294&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800335533%29&date=1990-2021
