doi,sc_title,sc_issn,sc_pub_name,sc_vol,sc_issue,sc_page_range,sc_abstract_api_endpoint,sc_human_url,sc_pub_date,sc_open_access_status,sc_query_used
10.1093/restud/rdab014,Monopoly without a Monopolist: An Economic Analysis of the Bitcoin Payment System,00346527,Review of Economic Studies,88,6,3011-3040,https://api.elsevier.com/content/abstract/scopus_id/85121397372,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121397372&origin=inward,2021-11-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800346527%29&date=1990-2021
10.1093/restud/rdab003,Optimal Taxation with Private Insurance,00346527,Review of Economic Studies,88,6,2766-2798,https://api.elsevier.com/content/abstract/scopus_id/85121397286,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121397286&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800346527%29&date=1990-2021
10.1093/restud/rdaa078,Measuring Bias in Consumer Lending,00346527,Review of Economic Studies,88,6,2799-2832,https://api.elsevier.com/content/abstract/scopus_id/85121389753,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121389753&origin=inward,2021-11-01,True,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800346527%29&date=1990-2021
10.1093/restud/rdab018,Default Effects and Follow-On Behaviour: Evidence from An Electricity Pricing Program,00346527,Review of Economic Studies,88,6,2886-2934,https://api.elsevier.com/content/abstract/scopus_id/85121383401,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121383401&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800346527%29&date=1990-2021
10.1093/restud/rdaa086,The Value of Unemployment Insurance,00346527,Review of Economic Studies,88,6,3041-3085,https://api.elsevier.com/content/abstract/scopus_id/85121383083,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121383083&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800346527%29&date=1990-2021
10.1093/restud/rdab017,"Workforce Composition, Productivity, and Labour Regulations in a Compensating Differentials Theory of Informality",00346527,Review of Economic Studies,88,6,2970-3010,https://api.elsevier.com/content/abstract/scopus_id/85121378653,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121378653&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800346527%29&date=1990-2021
10.1093/restud/rdab006,Rules without Commitment: Reputation and Incentives,00346527,Review of Economic Studies,88,6,2833-2856,https://api.elsevier.com/content/abstract/scopus_id/85121377667,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121377667&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800346527%29&date=1990-2021
10.1093/restud/rdaa059,Shadow Banking and the Four Pillars of Traditional Financial Intermediation,00346527,Review of Economic Studies,88,6,2622-2653,https://api.elsevier.com/content/abstract/scopus_id/85121376361,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121376361&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800346527%29&date=1990-2021
10.1093/restud/rdaa089,Non-parametric Analysis of Time-Inconsistent Preferences,00346527,Review of Economic Studies,88,6,2687-2734,https://api.elsevier.com/content/abstract/scopus_id/85121370595,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121370595&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800346527%29&date=1990-2021
10.1093/restud/rdaa083,"Variation Margins, Fire Sales, and Information-constrained Optimality",00346527,Review of Economic Studies,88,6,2654-2686,https://api.elsevier.com/content/abstract/scopus_id/85121365818,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121365818&origin=inward,2021-11-01,False,https://api.elsevier.com/content/search/scopus?cursor=*&count=200&query=ISSN%2800346527%29&date=1990-2021
