volume,issue,date,abstract,author,jel_desc,jel_code,title,L_code,K_code,D4_code,O3_code,G34_code,year,month,day
89,2,2021-03-01,ECONLIT None Found,[nan],[nan],[nan],2020 Election of Fellows to the Econometric Society.,0,0,0,0,0,2021,03,01
89,2,2021-03-01,"We prove that local projections (LPs) and Vector Autoregressions (VARs) estimate the same impulse responses. This nonparametric result only requires unrestricted lag structures. We discuss several implications: (i) LP and VAR estimators are not conceptually separate procedures; instead, they are simply two dimension reduction techniques with common estimand but different finite-sample properties. (ii) VAR-based structural identification--including short-run, long-run, or sign restrictions--can equivalently be performed using LPs, and vice versa. (iii) Structural estimation with an instrument (proxy) can be carried out by ordering the instrument first in a recursive VAR, even under noninvertibility. (iv) Linear VARs are as robust to nonlinearities as linear LPs.","['Plagborg-Moller, Mikkel', 'Wolf, Christian K.']",['Multiple or Simultaneous Equation Models: Time-Series Models; Dynamic Quantile Regressions; Dynamic Treatment Effect Models; Diffusion Processes; State Space Models'],['C32'],Local Projections and VARs Estimate the Same Impulse Responses,0,0,0,0,0,2021,03,01
89,2,2021-03-01,"Are the highest sample realizations selected from a larger presample more or less informative than the same amount of random data? Developing multivariate accuracy for interval dominance ordered preferences, we show that sample selection always benefits (or always harms) a decision maker if the reverse hazard rate of the data distribution is log-supermodular (or log-submodular), as in location experiments with normal noise. We find nonpathological conditions under which the information contained in the winning bids of a symmetric auction decreases in the number of bidders. Exploiting extreme value theory, we quantify the limit amount of information revealed when the presample size (number of bidders) goes to infinity. In a model of equilibrium persuasion with costly information, we derive implications for the optimal design of selected experiments when selection is made by an examinee, a biased researcher, or contending sides with the peremptory challenge right to eliminate a number of jurors.","['Sorensen, Peter Norman', 'Di Tillio, Alfredo', 'Ottaviani, Marco']","['Survey Methods; Sampling Methods', 'Auctions', 'Search; Learning; Information and Knowledge; Communication; Belief; Unawareness', 'Litigation Process']","['C83', 'D44', 'D83', 'K41']",Strategic Sample Selection,0,1,1,0,0,2021,03,01
89,2,2021-03-01,"Quantile factor models (QFM) represent a new class of factor models for high-dimensional panel data. Unlike approximate factor models (AFM), which only extract mean factors, QFM also allow unobserved factors to shift other relevant parts of the distributions of observables. We propose a quantile regression approach, labeled Quantile Factor Analysis (QFA), to consistently estimate all the quantile-dependent factors and loadings. Their asymptotic distributions are established using a kernel-smoothed version of the QFA estimators. Two consistent model selection criteria, based on information criteria and rank minimization, are developed to determine the number of factors at each quantile. QFA estimation remains valid even when the idiosyncratic errors exhibit heavy-tailed distributions. An empirical application illustrates the usefulness of QFA by highlighting the role of extra factors in the forecasts of U.S. GDP growth and inflation rates using a large set of predictors.","['Gonzalo, Jesus', 'Dolado, Juan J.', 'Chen, Liang']","['Multiple or Simultaneous Equation Models: Classification Methods; Cluster Analysis; Principal Components; Factor Models', 'Forecasting Models; Simulation Methods', 'Macroeconomics: Production', 'Macroeconomics: Consumption, Saving, Production, Employment, and Investment: Forecasting and Simulation: Models and Applications']","['C38', 'C53', 'E23', 'E27']",Quantile Factor Models,0,0,0,0,0,2021,03,01
89,2,2021-03-01,"We study the consequences of measurement error in the dependent variable of random-coefficients models, focusing on the particular case of quantile regression. The popular quantile regression estimator of Koenker and Bassett (1978) is biased if there is an additive error term. Approaching this problem as an errors-in-variables problem where the dependent variable suffers from classical measurement error, we present a sieve maximum likelihood approach that is robust to left-hand-side measurement error. After providing sufficient conditions for identification, we demonstrate that when the number of knots in the quantile grid is chosen to grow at an adequate speed, the sieve-maximum-likelihood estimator is consistent and asymptotically normal, permitting inference via bootstrapping. Monte Carlo evidence verifies our method outperforms quantile regression in mean bias and MSE. Finally, we illustrate our estimator with an application to the returns to education highlighting changes over time in the returns to education that have previously been masked by measurement-error bias.","['Liu, Haoyang', 'Luo, Ye', 'Hausman, Jerry', 'Palmer, Christopher']","['Semiparametric and Nonparametric Methods: General', 'Single Equation Models; Single Variables: Cross-Sectional Models; Spatial Models; Treatment Effect Models; Quantile Regressions', 'Returns to Education', 'Human Capital; Skills; Occupational Choice; Labor Productivity', 'Wage Level and Structure; Wage Differentials']","['C14', 'C21', 'I26', 'J24', 'J31']",Errors in the Dependent Variable of Quantile Regression Models,0,0,0,0,0,2021,03,01
89,2,2021-03-01,"This paper studies a penalized statistical decision rule for the treatment assignment problem. Consider the setting of a utilitarian policy maker who must use sample data to allocate a binary treatment to members of a population, based on their observable characteristics. We model this problem as a statistical decision problem where the policy maker must choose a subset of the covariate space to assign to treatment, out of a class of potential subsets. We focus on settings in which the policy maker may want to select amongst a collection of constrained subset classes: examples include choosing the number of covariates over which to perform best-subset selection, and model selection when approximating a complicated class via a sieve. We adapt and extend results from statistical learning to develop the Penalized Welfare Maximization (PWM) rule. We establish an oracle inequality for the regret of the PWM rule which shows that it is able to perform model selection over the collection of available classes. We then use this oracle inequality to derive relevant bounds on maximum regret for PWM. An important consequence of our results is that we are able to formalize model-selection using a ""holdout"" procedure, where the policy maker would first estimate various policies using half of the data, and then select the policy which performs the best when evaluated on the other half of the data.","['Mbakop, Eric', 'Tabord-Meehan, Max']","['Operations Research; Statistical Decision Theory', 'Model Evaluation, Validation, and Selection']","['C44', 'C52']",Model Selection for Treatment Choice: Penalized Welfare Maximization,0,0,0,0,0,2021,03,01
89,2,2021-03-01,"We study contracts between naive present-biased consumers and risk-neutral firms. We show that the welfare loss from present bias vanishes as the contracting horizon grows. This is true both when bargaining power is on the consumers' and on the firms' side, when consumers cannot commit to long-term contracts, and when firms do not know the consumers' naivete. However, the welfare loss from present bias does not vanish when firms do not know the consumers' present bias or when they cannot offer exclusive contracts.","['Zhang, Xingtan', 'Gottlieb, Daniel']","['Consumer Economics: Theory', 'Firm Behavior: Theory', 'Economics of Contract: Theory', 'Labor Contracts']","['D11', 'D21', 'D86', 'J41']",Long-Term Contracting with Time-Inconsistent Agents,0,0,0,0,0,2021,03,01
89,2,2021-03-01,"This paper develops methods for detecting discrimination by individual employers using correspondence experiments that send fictitious resumes to real job openings. We establish identification of higher moments of the distribution of job-level callback rates as a function of the number of resumes sent to each job and propose shape-constrained estimators of these moments. Applying our methods to three experimental data sets, we find striking job-level heterogeneity in the extent to which callback probabilities differ by race or sex. Estimates of higher moments reveal that while most jobs barely discriminate, a few discriminate heavily. These moment estimates are then used to bound the share of jobs that discriminate and the posterior probability that each individual job is engaged in discrimination. In a recent experiment manipulating racially distinctive names, we find that at least 85% of jobs that contact both of two white applications and neither of two black applications are engaged in discrimination. To assess the potential value of our methods for regulators, we consider the accuracy of decision rules for investigating suspicious callback behavior in various experimental designs under a simple two-type model that rationalizes the experimental data. Though we estimate that only 17% of employers discriminate on the basis of race, we find that an experiment sending 10 applications to each job would enable detection of 7-10% of discriminatory jobs while yielding Type I error rates below 0.2%. A minimax decision rule acknowledging partial identification of the distribution of callback rates yields only slightly fewer investigations than a Bayes decision rule based on the two-type model. These findings suggest illegal labor market discrimination can be reliably monitored with relatively small modifications to existing correspondence designs.","['Walters, Christopher', 'Kline, Patrick']","['Economics of Minorities, Races, Indigenous Peoples, and Immigrants; Non-labor Discrimination', 'Economics of Gender; Non-labor Discrimination', 'Labor Demand', 'Labor Discrimination', 'Personnel Economics: Firm Employment Decisions; Promotions']","['J15', 'J16', 'J23', 'J71', 'M51']",Reasonable Doubt: Experimental Detection of Job-Level Employment Discrimination,0,0,0,0,0,2021,03,01
89,2,2021-03-01,"We provide general formulation of weak identification in semiparametric models and an efficiency concept. Weak identification occurs when a parameter is weakly regular, that is, when it is locally homogeneous of degree zero. When this happens, consistent or equivariant estimation is shown to be impossible. We then show that there exists an underlying regular parameter that fully characterizes the weakly regular parameter. While this parameter is not unique, concepts of sufficiency and minimality help pin down a desirable one. If estimation of minimal sufficient underlying parameters is inefficient, it introduces noise in the corresponding estimation of weakly regular parameters, whence we can improve the estimators by local asymptotic Rao-Blackwellization. We call an estimator weakly efficient if it does not admit such improvement. New weakly efficient estimators are presented in linear IV and nonlinear regression models. Simulation of a linear IV model demonstrates how 2SLS and optimal IV estimators are improved.","['Kaji, Tetsuya']","['Estimation: General', 'Semiparametric and Nonparametric Methods: General', 'Single Equation Models: Single Variables: Instrumental Variables (IV) Estimation']","['C13', 'C14', 'C26']",Theory of Weak Identification in Semiparametric Models,0,0,0,0,0,2021,03,01
89,2,2021-03-01,"We develop a framework to estimate the aggregate capital-labor elasticity of substitution by aggregating the actions of individual plants. The aggregate elasticity reflects substitution within plants and reallocation across plants; the extent of heterogeneity in capital intensities determines their relative importance. We use micro data on the cross-section of plants to build up to the aggregate elasticity at a point in time. Interpreting our econometric estimates through the lens of several different models, we find that the aggregate elasticity for the U.S. manufacturing sector is in the range of 0.5-0.7, and has declined slightly since 1970. We use our estimates to measure the bias of technical change and assess the decline in labor's share of income in the U.S. manufacturing sector. Mechanisms that rely on changes in the relative supply of factors, such as an acceleration of capital accumulation, cannot account for the decline.","['Raval, Devesh', 'Oberfield, Ezra']","['Firm Behavior: Empirical Analysis', 'Production; Cost; Capital; Capital, Total Factor, and Multifactor Productivity; Capacity', 'Factor Income Distribution', 'Aggregate Factor Income Distribution', 'Industry Studies: Manufacturing: General', 'Technological Change: Choices and Consequences; Diffusion Processes']","['D22', 'D24', 'D33', 'E25', 'L60', 'O33']",Micro Data and Macro Technology,1,0,0,1,0,2021,03,01
