volume,issue,date,abstract,author,jel_desc,jel_code,title,L_code,K_code,D4_code,O3_code,G34_code,year,month,day
129,4,2021-04-01,"The existing economics literature on international trade agreements focuses on tariff agreements covering trade in goods and explains core features of the General Agreement on Tariffs and Trade (GATT). Tariffs play almost no role in services markets, however, and the literature cannot account for the strikingly different approach to trade liberalization in agreements such as the World Trade Organization's General Agreement on Trade in Services (GATS). We develop a model through which key features of GATS, including its emphasis on ""deep integration"" can be understood. And we use this model to suggest that there may also be a middle ground for services trade liberalization between the GATS deep-integration approach and the traditional ""shallow-integration"" approach of GATT.","['Sykes, Alan O.', 'Staiger, Robert W.']","['Trade Policy; International Trade Organizations', 'Empirical Studies of Trade', 'Industry Studies: Services: General']","['F13', 'F14', 'L80']",The Economic Structure of International Trade-in-Services Agreements,1,0,0,0,0,2021,04,01
129,4,2021-04-01,"We study the adoption, diffusion, and impacts of the Universal Product Code (UPC) between 1975 and 1992, during the initial years of the bar code system. We find evidence of network effects in the diffusion process. Matched-sample difference-in-differences estimates show that firm size and trademark registrations increase following UPC adoption by manufacturers. Industry-level import penetration also increases with domestic UPC adoption. Our findings suggest that bar codes, scanning, and related technologies helped stimulate variety-enhancing product innovation and encourage the growth of international retail supply chains.","['Basker, Emek', 'Simcoe, Timothy']","['Firm Behavior: Empirical Analysis', 'Empirical Studies of Trade', 'Multinational Firms; International Business', 'Transactional Relationships; Contracts and Reputation; Networks', 'Firm Performance: Size, Diversification, and Scope', 'Innovation and Invention: Processes and Incentives', 'Technological Change: Choices and Consequences; Diffusion Processes']","['D22', 'F14', 'F23', 'L14', 'L25', 'O31', 'O33']","Upstream, Downstream: Diffusion and Impacts of the Universal Product Code",1,0,0,1,0,2021,04,01
129,4,2021-04-01,"Are identities fungible? How do people come to identify with specific groups? This paper proposes a revealed preference approach, using food consumption to uncover ethnic and religious identity choices in India. We first show that consumption of identity goods responds to forces suggested by social identity research: group status and group salience. Moreover, identity choices respond to the cost of following the group's prescribed behaviors. We propose and estimate a demand system to quantify the identity changes that followed India's 1991 reforms. While social identity research has focused on status and salience, our results suggest that economic costs also play an important role.","['Shayo, Moses', 'Colson-Sihra, Eve', 'Atkin, David']","['Consumer Economics: Empirical Analysis', 'Microeconomic Analyses of Economic Development', 'Cultural Economics: Religion', 'Economic Sociology; Economic Anthropology; Language; Social and Economic Stratification']","['D12', 'O12', 'Z12', 'Z13']",How Do We Choose Our Identity? A Revealed Preference Approach Using Food Consumption,0,0,0,0,0,2021,04,01
129,4,2021-04-01,"A central challenge in securing property rights is the subversion of justice. We present a model of a polluter whose discharges harm multiple owners, and we compare property rules, liability rules, and regulation on efficiency grounds. We provide conditions under which property rules are preferred to liability rules, thus verifying the Calabresi-Melamed conjecture. Regulation that enforces partial abatement may be preferred to either of the extreme rules. An empirical analysis of water quality in the United States before and after the Clean Water Act shows that the effects of regulation are consistent with several predictions of the model.","['Ponzetto, Giacomo A. M.', 'Shleifer, Andrei', 'Glaeser, Edward L.', 'Behrer, A. Patrick']","['Property Law', 'Energy, Environmental, Health, and Safety Law', 'Capitalist Systems: Property Rights', 'Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling', 'Environmental Economics: Government Policy']","['K11', 'K32', 'P14', 'Q53', 'Q58']",Securing Property Rights,0,1,0,0,0,2021,04,01
129,4,2021-04-01,"This paper proposes a theory of endogenous differences in liquidity of assets based on the interaction between differences in their risk and differences in liquidity needs of agents. An equilibrium of the model displays a class structure, where agents sort themselves across different types of assets according to their types. High-liquidity-need agents hold on to safer portfolios than lower-liquidity-need agents whenever the variation in the value of liquidity across states raises the value of safe assets more than that of riskier assets, and vice versa. I also derive capital asset pricing model-like formulas for excess returns where the risk and liquidity premia are interdependent and specific to each type of agent.","['Jacquet, Nicolas L.']","['Portfolio Choice; Investment Decisions', 'Equities; Fixed Income Securities', 'Behavioral Finance: Role and Effects of Psychological, Emotional, Social, and Cognitive Factors on Decision Making in Financial Markets']","['G11', 'G12', 'G41']",Asset Classes,0,0,0,0,0,2021,04,01
129,4,2021-04-01,"This paper provides evidence of a novel facet of peer effects by showing that peer personality influences academic achievement. We exploit random assignment of students to university sections and find that students perform better in the presence of persistent peers. The impact of peer persistence is enduring, as students exposed to persistent peers at the beginning of their studies continue to achieve higher grades in subsequent periods. The personality peer effects that we document are distinct from other observable peer characteristics and suggest that peer personality traits affect human capital accumulation.","['Golsteyn, Bart H. H.', 'Non, Arjan', 'Zolitz, Ulf']","['Higher Education; Research Institutions', 'Returns to Education', 'Human Capital; Skills; Occupational Choice; Labor Productivity']","['I23', 'I26', 'J24']",The Impact of Peer Personality on Academic Achievement,0,0,0,0,0,2021,04,01
129,4,2021-04-01,"We derive the symmetric, revenue-maximizing allocation of several units among agents who take costly actions that influence their values. The problem is equivalent to a reduced-form model where agents have nonexpected utility. The uniform-price auction and the discriminatory pay-your-bid auction with reserve prices that react to both demand and supply constitute symmetric, optimal mechanisms. We also identify a condition under which the overall optimal mechanism is indeed symmetric and illustrate the structure of the optimal asymmetric mechanism when the condition fails. The main tool in our analysis is an integral inequality based on Fan and Lorentz (1954).","['Gershkov, Alex', 'Zhang, Mengxi', 'Strack, Philipp', 'Moldovanu, Benny']",['Auctions'],['D44'],A Theory of Auctions with Endogenous Valuations,0,0,1,0,0,2021,04,01
129,4,2021-04-01,"In economies with a continuum of agents of different types, pecuniary externalities are removed with market exchanges. Agents choose from among various possible prices they want to prevail in the future and buy or sell rights in these market exchanges for future trade. Each agent can choose the exchange it wants without regard to what any other agent is doing. But crucially, the right to trade in each and every exchange is priced. The fee structure has a per-unit price and quantity decomposition: a price, as determined by the exchange chosen, times the quantity of rights acquired.","['Kilenthong, Weerachart T.', 'Townsend, Robert M.']","['Exchange and Production Economies', 'Externalities']","['D51', 'D62']",A Market-Based Solution for Fire Sales and Other Pecuniary Externalities,0,0,0,0,0,2021,04,01
129,3,2021-03-01,"I examine the distributional consequences of technological change in a framework that nests Roy's (1951) and Becker's (1973) classical models: workers self-select into two sectors and then match with heterogeneous firms within each sector. In this model, technological change can be decomposed into changes in (i) the degree to which sectors covet the same skill sets and (ii) the extent to which output varies with skill in each sector. By deriving monotone comparative statics results for each of these two types of changes, I am able to provide a comprehensive account of the distributional consequences of technological change.","['Gola, Pawel']","['Bargaining Theory; Matching Theory', 'Firm Behavior: Theory', 'Human Capital; Skills; Occupational Choice; Labor Productivity', 'Technological Change: Choices and Consequences; Diffusion Processes']","['C78', 'D21', 'J24', 'O33']",Supply and Demand in a Two-Sector Matching Model,0,0,0,1,0,2021,03,01
129,3,2021-03-01,Large firms play a pivotal role in international trade. We develop a multisector granular model of trade where sectors host a finite number of firms. Both aggregate and granular firm-level forces shape comparative advantage. The model is estimated using French microdata on firm domestic and export sales. We find that granularity accounts for about 20% of the sectoral variation in export intensity and is more pronounced in highly export-intensive sectors. An extension to a dynamic environment with both idiosyncratic and aggregate shocks reveals that firm dynamics plays a central role in shaping comparative advantage reversals observed in the data.,"['Itskhoki, Oleg', 'Gaubert, Cecile']","['Firm Behavior: Theory', 'Firm Behavior: Empirical Analysis', 'Neoclassical Models of Trade', 'Empirical Studies of Trade']","['D21', 'D22', 'F11', 'F14']",Granular Comparative Advantage,0,0,0,0,0,2021,03,01
129,3,2021-03-01,"This paper derives conditions under which preferences and technology are nonparametrically identified in hedonic equilibrium models. With products differentiated along a quality index and agents characterized by scalar unobserved heterogeneity, single-crossing conditions on preferences and technology provide identifying restrictions in previous work. We develop similar shape restrictions in the multiattribute case. These shape restrictions, based on optimal transport theory and generalized convexity, allow us to identify preferences for goods differentiated along multiple dimensions from the observation of a single market. We thereby derive identification results for nonseparable simultaneous equations and multi-attribute hedonic equilibrium models with (possibly) multiple dimensions of unobserved heterogeneity. One of our results is a proof of absolute continuity of the distribution of endogenously traded qualities, which is of independent interest.","['Chernozhukov, Victor', 'Pass, Brendan', 'Henry, Marc', 'Galichon, Alfred']","['Semiparametric and Nonparametric Methods: General', 'Multiple or Simultaneous Equation Models; Multiple Variables: General', 'Microeconomic Behavior: Underlying Principles']","['C14', 'C30', 'D01']",Identification of Hedonic Equilibrium and Nonseparable Simultaneous Equations,0,0,0,0,0,2021,03,01
129,3,2021-03-01,"We report a continuous-time experiment studying the Burdett-Judd model, whose unique Nash equilibrium (NE) features dispersed prices. Adaptive dynamics predict that the NE is stable for one of our parameter sets and unstable for another. The empirical price distribution is close to the NE distribution for the stable parameter set, but for the unstable parameter set it skews toward higher prices in its NE support interval. We offer an empirical definition of price cycles in terms of changes over time in robust measures of central tendency and dispersion, by which the data exhibit persistent cycles in both treatments but larger cycles for the unstable parameters. Results are roughly similar for professional and student sellers and for limited-information treatments.","['Cason, Timothy N.', 'Hopkins, Ed', 'Friedman, Daniel']","['Consumer Economics: Theory', 'Firm Behavior: Theory', 'Search; Learning; Information and Knowledge; Communication; Belief; Unawareness', 'Production, Pricing, and Market Structure; Size Distribution of Firms']","['D11', 'D21', 'D83', 'L11']",An Experimental Investigation of Price Dispersion and Cycles,1,0,0,0,0,2021,03,01
129,3,2021-03-01,"We extend the standard intergenerational mobility literature by examining the relationship between adult outcomes of children and the timing of parental income during their childhood years, using data from Norway. We find first that, conditional on permanent household income, the child's human capital is higher in households where income is balanced between the early childhood and late childhood years than in households with a more imbalanced income profile. Second, compared to that in the early and late periods of childhood, income in the middle period has relatively low productivity.","['Salvanes, Kjell G.', 'Lopez Garcia, Italo', 'Carneiro, Pedro', 'Tominey, Emma']","['Fertility; Family Planning; Child Care; Children; Youth', 'Human Capital; Skills; Occupational Choice; Labor Productivity', 'Wage Level and Structure; Wage Differentials', 'Job, Occupational, and Intergenerational Mobility; Promotion']","['J13', 'J24', 'J31', 'J62']",Intergenerational Mobility and the Timing of Parental Income,0,0,0,0,0,2021,03,01
129,3,2021-03-01,"We show that family background matters significantly for children's accumulation of wealth and investor behavior as adults, even when removing the genetic connection between children and the parents raising them. The analysis is made possible by linking Korean-born children who were adopted at infancy by Norwegian parents to a population panel data set with detailed information on wealth and socioeconomic characteristics. The mechanism by which these Korean-Norwegian adoptees were assigned to adoptive families is known and effectively random. This mechanism allows us to estimate the causal effects from an adoptee being raised in one type of family versus another.","['Ronning, Marte', 'Fagereng, Andreas', 'Mogstad, Magne']","['Household Saving, Borrowing, Debt, and Wealth', 'Marriage; Marital Dissolution; Family Structure; Domestic Abuse', 'Fertility; Family Planning; Child Care; Children; Youth']","['G51', 'J12', 'J13']",Why Do Wealthy Parents Have Wealthy Children?,0,0,0,0,0,2021,03,01
129,3,2021-03-01,"This paper argues that incumbent firms may acquire innovative targets solely to discontinue the target's innovation projects and preempt future competition. We call such acquisitions ""killer acquisitions."" We develop a model illustrating this phenomenon. Using pharmaceutical industry data, we show that acquired drug projects are less likely to be developed when they overlap with the acquirer's existing product portfolio, especially when the acquirer's market power is large because of weak competition or distant patent expiration. Conservative estimates indicate that 5.3%-7.4% of acquisitions in our sample are killer acquisitions. These acquisitions disproportionately occur just below thresholds for antitrust scrutiny.","['Ma, Song', 'Cunningham, Colleen', 'Ederer, Florian']","['Firm Behavior: Empirical Analysis', 'Mergers; Acquisitions; Restructuring; Voting; Proxy Contests; Corporate Governance', 'Antitrust Law', 'Monopolization; Horizontal Anticompetitive Practices', 'Chemicals; Rubber; Drugs; Biotechnology; Plastics', 'Intellectual Property and Intellectual Capital']","['D22', 'G34', 'K21', 'L41', 'L65', 'O34']",Killer Acquisitions,1,1,0,1,1,2021,03,01
129,2,2021-02-01,"The use of order-flow information by financial firms has come to the forefront of the regulatory debate. Should a dealer who acquires information by taking client orders be allowed to use or share that information? We explore how information sharing affects dealers, clients, and issuer revenues in US Treasury auctions, in a model calibrated to auction results data, which we use to quantify counterfactuals. Sharing information reduces uncertainty about future value. With less uncertainty, risk-averse bidders bid more. For investors, the welfare effects of information sharing depend on how information is shared and how it affects asymmetry. The model shows that investors can benefit when dealers share information with each other, not when they share more with clients.","['Lucca, David O.', 'Veldkamp, Laura', 'Boyarchenko, Nina']","['Auctions', 'Asymmetric and Private Information; Mechanism Design', 'Information and Market Efficiency; Event Studies; Insider Trading', 'Pension Funds; Non-bank Financial Institutions; Financial Instruments; Institutional Investors', 'Financial Institutions and Services: Government Policy and Regulation']","['D44', 'D82', 'G14', 'G23', 'G28']",Taking Orders and Taking Notes: Dealer Information Sharing in Treasury Auctions,0,0,1,0,0,2021,02,01
129,2,2021-02-01,"We estimate the economic surplus created by the Medicare Advantage program under its reformed competitive bidding rules. We use data on the universe of Medicare beneficiaries and develop a model of plan bidding that accounts for both market power and risk selection. We estimate that the Medicare Advantage program generates substantial surplus to participants (of 217 USD per enrollee-month), but that approximately two-thirds of this surplus is captured by insurers. We use the model to evaluate the impact of possible program changes, including changes that could increase competition and lead to lower profits and higher consumer surplus without raising taxpayer costs.","['Einav, Liran', 'Levin, Jonathan', 'Bhattacharya, Jay', 'Curto, Vilsa']","['Insurance; Insurance Companies; Actuarial Studies', 'National Government Expenditures and Health', 'Health Insurance, Public and Private', 'Health: Government Policy; Regulation; Public Health']","['G22', 'H51', 'I13', 'I18']",Can Health Insurance Competition Work? Evidence from Medicare Advantage,0,0,0,0,0,2021,02,01
129,2,2021-02-01,"We study an R&D race between an established firm and a startup under asymmetric information. R&D investment brings success stochastically, but only if the innovation is feasible. The only asymmetry is that the established firm has better information about the feasibility of the innovation. We show that there is an equilibrium in which the poorly informed startup wins more often, and has higher expected profits, than the better-informed incumbent. When the informational asymmetry is large, this is the unique equilibrium outcome. The channel by which better information becomes a competitive disadvantage appears to be new and stems from the fact that better information dulls the incentive to learn from one's rival.","['Krishna, Vijay', 'Awaya, Yu']","['Market Structure, Pricing, and Design: Oligopoly and Other Forms of Market Imperfection', 'Asymmetric and Private Information; Mechanism Design', 'Oligopoly and Other Imperfect Markets', 'New Firms; Startups', 'Management of Technological Innovation and R&D']","['D43', 'D82', 'L13', 'M13', 'O32']",Startups and Upstarts: Disadvantageous Information in R&D,1,0,1,1,0,2021,02,01
129,2,2021-02-01,"We study the optimal design of student financial aid as a function of parental income. We derive optimal financial aid formulas in a general model. We estimate a model of selection into college for the United States that comprises multidimensional heterogeneity, endogenous parental transfers, dropout, labor supply in college, and uncertain returns. We quantify optimal financial aid in the estimated model and find it is strongly declining in parental income even without distributional concerns. Equity and efficiency go hand in hand.","['Colas, Mark', 'Sachs, Dominik', 'Findeisen, Sebastian']","['National Government Expenditures and Education', 'Educational Finance; Financial Aid', 'Education and Inequality', 'Education: Government Policy']","['H52', 'I22', 'I24', 'I28']",Optimal Need-Based Financial Aid,0,0,0,0,0,2021,02,01
129,2,2021-02-01,"Water fluoridation is a common but debated public policy. In this paper, we use Swedish registry data to study the causal effects of fluoride in drinking water. We exploit exogenous variation in natural fluoride stemming from variation in geological characteristics at water sources to identify its effects. First, we reconfirm the long-established positive effect of fluoride on dental health. Second, we estimate a zero effect on cognitive ability in contrast to several recent debated epidemiological studies. Third, fluoride is furthermore found to increase labor income. This effect is foremost driven by individuals from a lower socioeconomic background.","['Aggeborn, Linuz', 'Ohman, Mattias']","['Health Behavior', 'Health and Inequality', 'Health: Government Policy; Regulation; Public Health', 'Human Capital; Skills; Occupational Choice; Labor Productivity', 'Wage Level and Structure; Wage Differentials', 'Gas Utilities; Pipelines; Water Utilities', 'Renewable Resources and Conservation: Water']","['I12', 'I14', 'I18', 'J24', 'J31', 'L95', 'Q25']",The Effects of Fluoride in Drinking Water,1,0,0,0,0,2021,02,01
129,2,2021-02-01,"This paper develops a new framework for studying multiproduct intermediaries when consumers demand multiple products and face search frictions. We show that a multiproduct intermediary is profitable even when it does not improve consumer search efficiency. The intermediary optimally stocks high-value products exclusively to attract consumers to visit and then profits by selling nonexclusive products that are relatively cheap to buy from upstream suppliers. Relative to the social optimum, the intermediary tends to be too big and stock too many products exclusively. We use the framework to study the design of shopping malls and the impact of direct-to-consumer sales by upstream suppliers on the retail market.","['Zhou, Jidong', 'Watanabe, Makoto', 'Rhodes, Andrew']","['Consumer Economics: Theory', 'Search; Learning; Information and Knowledge; Communication; Belief; Unawareness', 'Retail and Wholesale Trade; e-Commerce']","['D11', 'D83', 'L81']",Multiproduct Intermediaries,1,0,0,0,0,2021,02,01
129,2,2021-02-01,"Online contests have become a prominent form of innovation procurement. Contest platforms often display a real-time public leaderboard to provide performance feedback. The impact of information disclosure on players' decisions is theoretically ambiguous: some players may get discouraged and quit, while others may decide to keep working to remain competitive. We investigate the impact of a leaderboard on contest outcomes using two complementary approaches. First, we estimate a dynamic model using observational data and compare the equilibria with and without a leaderboard. Second, we present experimental evidence from student competitions. We find that a leaderboard on average improves competition outcomes.","['Lemus, Jorge', 'Marshall, Guillermo']",['Asymmetric and Private Information; Mechanism Design'],['D82'],Dynamic Tournament Design: Evidence from Prediction Contests,0,0,0,0,0,2021,02,01
129,2,2021-02-01,"We propose a methodology exploiting time diary data and ""leisure Engel curves"" to infer quality changes across leisure activities and measure the effects on the marginal return to leisure. We study leisure returns for men aged 21-30, who have shifted leisure toward video gaming and recreational computing and have had larger market work hour declines than older men or women since 2004. We show that recreational computing is distinctly a leisure luxury for younger men. By increasing the value of time, innovations to this leisure technology have lowered young men's work hours by 2 percent, or much of their work hours decline compared to older men's.","['Bils, Mark', 'Hurst, Erik', 'Charles, Kerwin Kofi', 'Aguiar, Mark']","['Household Production and Intrahousehold Allocation', 'Time Allocation and Labor Supply']","['D13', 'J22']",Leisure Luxuries and the Labor Supply of Young Men,0,0,0,0,0,2021,02,01
129,12,2021-12-01,"We build a multicountry dynamic general equilibrium model to study the economic effects of the 2004 enlargement of the European Union. In our model, trade is costly and households of different skills and nationalities face costly forward-looking migration decisions. We exploit the timing of migration policy changes to identify the changes in migration costs. We find that the changes in migration and trade policy resulted in aggregate welfare gains but with heterogeneous effects across skill groups. We study the interaction between trade and migration policies and highlight the importance of trade for quantifying the welfare and migration effects of labor market integration.","['Parro, Fernando', 'Sforza, Alessandro', 'Opromolla, Luca David', 'Caliendo, Lorenzo']","['Empirical Studies of Trade', 'Economic Integration', 'Trade and Labor Market Interactions', 'Economics of Minorities, Races, Indigenous Peoples, and Immigrants; Non-labor Discrimination', 'Demographic Economics: Public Policy', 'Immigration Law']","['F14', 'F15', 'F16', 'J15', 'J18', 'K37']",Goods and Factor Market Integration: A Quantitative Assessment of the EU Enlargement,0,1,0,0,0,2021,12,01
