volume,issue,date,abstract,author,jel_desc,jel_code,title,L_code,K_code,D4_code,O3_code,G34_code,year,month,day
136,1,2021-02-01,"We study how long-lived rational agents learn from repeatedly observing a private signal and each others' actions. With normal signals, a group of any size learns more slowly than just four agents who directly observe each others' private signals in each period. Similar results apply to general signal structures. We identify rational groupthink--in which agents ignore their private signals and choose the same action for long periods of time--as the cause of this failure of information aggregation.","['Mossel, Elchanan', 'Harel, Matan', 'Strack, Philipp', 'Tamuz, Omer']","['Consumer Economics: Theory', 'Asymmetric and Private Information; Mechanism Design', 'Micro-Based Behavioral Economics: Role and Effects of Psychological, Emotional, Social, and Cognitive Factors on Decision Making']","['D11', 'D82', 'D91']",Rational Groupthink,0,0,0,0,0,2021,02,01
136,1,2021-02-01,"I study how a credit crunch affects output price dynamics. I build a unique micro-level data set that combines scanner-level prices and quantities with producer information, including the producer's banking relationships, inventory, and cash holdings. I exploit the Lehman Brothers failure as a quasi-experiment and find that the firms facing a negative credit supply shock decrease their output prices approximately 15% more than their unaffected counterparts. I hypothesize that such firms reduce prices to liquidate inventory and generate additional cash flow from the product market. I find strong empirical support for this hypothesis: (i) the firms that face a negative bank shock temporarily decrease their prices and inventory and increase their market share and cash holdings relative to their counterparts, and (ii) this effect is stronger for the firms and sectors with a high initial inventory or small initial cash holdings.","['Kim, Ryan']","['Firm Behavior: Empirical Analysis', 'Intertemporal Firm Choice: Investment, Capacity, and Financing', 'Banks; Depository Institutions; Micro Finance Institutions; Mortgages', 'Capital Budgeting; Fixed Investment and Inventory Studies; Capacity', 'Financing Policy; Financial Risk and Risk Management; Capital and Ownership Structure; Value of Firms; Goodwill']","['D22', 'D25', 'G21', 'G31', 'G32']",The Effect of the Credit Crunch on Output Price Dynamics: The Corporate Inventory and Liquidity Management Channel,0,0,0,0,0,2021,02,01
136,1,2021-02-01,"This article argues that accounting for capital-embodied technology greatly increases the importance of capital in explaining cross-country differences in agricultural labor productivity. To do so, we draw on a novel data set of agricultural capital prices. We document that new capital is more expensive in richer countries, both in absolute terms and relative to old capital. A model of endogenous adoption of capital of different quality links these price differences to the path of capital-embodied technology. In particular, our model recovers the level of embodied technology from the price of new capital and the growth rate of embodied technology from the price of new capital relative to old capital. We then measure the stocks of quality-adjusted capital in agriculture for a sample of 16 countries at different stages of development. We find that adjusting for differences in quality almost doubles the importance of capital in accounting for cross-country differences in agricultural labor productivity: from 21% to 37%. In addition, improvements in capital quality have been an important source of agricultural labor productivity growth over the past 25 years, accounting for 21% and 35% of the productivity growth in poor and rich countries, respectively.","['Keller, Elisa', 'Caunedo, Julieta']","['Human Capital; Skills; Occupational Choice; Labor Productivity', 'Agricultural Labor Markets', 'Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products', 'Management of Technological Innovation and R&D', 'Micro Analysis of Farm Firms, Farm Households, and Farm Input Markets', 'Agricultural R&D; Agricultural Technology; Biofuels; Agricultural Extension Services']","['J24', 'J43', 'O13', 'O32', 'Q12', 'Q16']",Capital Obsolescence and Agricultural Productivity,0,0,0,1,0,2021,02,01
136,1,2021-02-01,"Communication facilitates cooperation by ensuring that deviators are collectively punished. We explore how players might misuse communication to threaten one another, and we identify ways that organizations can deter misuse and restore cooperation. In our model, a principal plays trust games with a sequence of short-run agents who communicate with each other. An agent can shirk and then extort pay by threatening to report that the principal deviated. We show that these threats can completely undermine cooperation. Investigations of agents' efforts, or dyadic relationships between the principal and each agent, can deter extortion and restore some cooperation. Investigations of the principal's action, on the other hand, typically do not help. Our analysis suggests that collective punishments are vulnerable to misuse unless they are designed with an eye toward discouraging it.","['Guo, Yingni', 'Barron, Daniel']","['Asymmetric and Private Information; Mechanism Design', 'Illegal Behavior and the Enforcement of Law']","['D82', 'K42']",The Use and Misuse of Coordinated Punishments,0,1,0,0,0,2021,02,01
136,1,2021-02-01,"We examine the impact of criminalizing sex work, exploiting an event in which local officials unexpectedly criminalized sex work in one district in East Java, Indonesia, but not in neighboring districts. We collect data from female sex workers and their clients before and after the change. We find that criminalization increases sexually transmitted infections among female sex workers by 58 percent, measured by biological tests. This is driven by decreased condom access and use. We also find evidence that criminalization decreases earnings among women who left sex work due to criminalization and decreases their ability to meet their children's school expenses while increasing the likelihood that children begin working to supplement household income. Although criminalization has the potential to improve population STI outcomes if the market shrinks permanently, we show that five years postcriminalization the market has rebounded and the probability of STI transmission in the general population is likely to have increased.","['Cameron, Lisa', 'Seager, Jennifer', 'Shah, Manisha']","['Health Behavior', 'Economics of Gender; Non-labor Discrimination', 'Informal Labor Markets', 'Illegal Behavior and the Enforcement of Law', 'Economic Development: Human Resources; Human Development; Income Distribution; Migration', 'Formal and Informal Sectors; Shadow Economy; Institutional Arrangements']","['I12', 'J16', 'J46', 'K42', 'O15', 'O17']",Crimes against Morality: Unintended Consequences of Criminalizing Sex Work,0,1,0,0,0,2021,02,01
136,1,2021-02-01,"We relate gender differences in willingness to commute to the gender wage gap. Using French administrative data on job search criteria, we first document that unemployed women have a lower reservation wage and a shorter maximum acceptable commute than their male counterparts. We identify indifference curves between wage and commute using the joint distributions of reservation job attributes and accepted job bundles. Indifference curves are steeper for women, who value commute around 20% more than men. Controlling in particular for the previous job, newly hired women are paid after unemployment 4% less per hour and have a 12% shorter commute than men. Through the lens of a job search model where commuting matters, we estimate that gender differences in commute valuation can account for a 0.5 log point hourly wage deficit for women, that is, 14% of the residualized gender wage gap. Finally, we use job application data to test the robustness of our results and to show that female workers do not receive less demand from far-away employers, confirming that most of the gender gap in commute is supply-side driven.","['Roulet, Alexandra', 'Le Barbanchon, Thomas', 'Rathelot, Roland']","['Economics of Gender; Non-labor Discrimination', 'Time Allocation and Labor Supply', 'Labor Demand', 'Wage Level and Structure; Wage Differentials', 'Unemployment: Models, Duration, Incidence, and Job Search']","['J16', 'J22', 'J23', 'J31', 'J64']",Gender Differences in Job Search: Trading Off Commute against Wage,0,0,0,0,0,2021,02,01
136,1,2021-02-01,"We study the causal impact of religiosity through a randomized evaluation of an evangelical Protestant Christian values and theology education program delivered to thousands of ultrapoor Filipino households. Six months after the program ended, treated households have higher religiosity and income; no statistically significant differences in total labor supply, consumption, food security, or life satisfaction; and lower perceived relative economic status. Exploratory analysis suggests that the income treatment effect may operate through increasing grit. Thirty months after the program ended, significant differences in the intensity of religiosity disappear, but those in the treatment group are less likely to be Catholic and more likely to be Protestant, and there is some mixed evidence that their consumption and perceived relative economic status are higher.","['Bryan, Gharad', 'Choi, James J.', 'Karlan, Dean']","['Consumer Economics: Empirical Analysis', 'Household Saving, Borrowing, Debt, and Wealth', 'General Welfare; Well-Being', 'Measurement and Analysis of Poverty', 'Microeconomic Analyses of Economic Development', 'Cultural Economics: Religion']","['D12', 'G51', 'I31', 'I32', 'O12', 'Z12']",Randomizing Religion: The Impact of Protestant Evangelism on Economic Outcomes,0,0,0,0,0,2021,02,01
136,1,2021-02-01,"Macro-finance analyses commonly link firms' borrowing constraints to the liquidation value of physical assets. For U.S. nonfinancial firms, we show that 20% of debt by value is based on such assets (asset-based lending in creditor parlance), whereas 80% is based predominantly on cash flows from firms' operations (cash flow-based lending). A standard borrowing constraint restricts total debt as a function of cash flows measured using operating earnings (earnings-based borrowing constraints). These features shape firm outcomes on the margin: first, cash flows in the form of operating earnings can directly relax borrowing constraints; second, firms are less vulnerable to collateral damage from asset price declines, and fire sale amplification may be mitigated. Taken together, our findings point to new venues for modeling firms' borrowing constraints in macro-finance studies.","['Lian, Chen', 'Ma, Yueran']","['Firm Behavior: Empirical Analysis', 'Equities; Fixed Income Securities', 'Financing Policy; Financial Risk and Risk Management; Capital and Ownership Structure; Value of Firms; Goodwill', 'Firm Performance: Size, Diversification, and Scope']","['D22', 'G12', 'G32', 'L25']",Anatomy of Corporate Borrowing Constraints,1,0,0,0,0,2021,02,01
136,1,2021-02-01,"The earnings difference between white and black workers fell dramatically in the United States in the late 1960s and early 1970s. This article shows that the expansion of the minimum wage played a critical role in this decline. The 1966 Fair Labor Standards Act extended federal minimum wage coverage to agriculture, restaurants, nursing homes, and other services that were previously uncovered and where nearly a third of black workers were employed. We digitize over 1,000 hourly wage distributions from Bureau of Labor Statistics industry wage reports and use CPS microdata to investigate the effects of this reform on wages, employment, and racial inequality. Using a cross-industry difference-in-differences design, we show that earnings rose sharply for workers in the newly covered industries. The impact was nearly twice as large for black workers as for white workers. Within treated industries, the racial gap adjusted for observables fell from 25 log points prereform to 0 afterward. We can rule out significant disemployment effects for black workers. Using a bunching design, we find no aggregate effect of the reform on employment. The 1967 extension of the minimum wage can explain more than 20% of the reduction in the racial earnings and income gap during the civil rights era. Our findings shed new light on the dynamics of labor market inequality in the United States and suggest that minimum wage policy can play a critical role in reducing racial economic disparities.","['Derenoncourt, Ellora', 'Montialoux, Claire']","['Economics of Minorities, Races, Indigenous Peoples, and Immigrants; Non-labor Discrimination', 'Wage Level and Structure; Wage Differentials', 'Wages, Compensation, and Labor Costs: Public Policy', 'Labor Discrimination', 'Urban, Rural, Regional, Real Estate, and Transportation Economics: Regional Migration; Regional Labor Markets; Population; Neighborhood Characteristics']","['J15', 'J31', 'J38', 'J71', 'R23']",Minimum Wages and Racial Inequality,0,0,0,0,0,2021,02,01
136,1,2021-02-01,"Nearly 1,000 officer-involved killings occur each year in the United States. This article documents the large, racially disparate effects of these events on the educational and psychological well-being of Los Angeles public high school students. Exploiting hyperlocal variation in how close students live to a killing, I find that exposure to police violence leads to persistent decreases in GPA, increased incidence of emotional disturbance, and lower rates of high school completion and college enrollment. These effects are driven entirely by black and Hispanic students in response to police killings of other minorities and are largest for incidents involving unarmed individuals.","['Ang, Desmond']","['Analysis of Education', 'Fertility; Family Planning; Child Care; Children; Youth', 'Economics of Minorities, Races, Indigenous Peoples, and Immigrants; Non-labor Discrimination', 'Illegal Behavior and the Enforcement of Law']","['I21', 'J13', 'J15', 'K42']",The Effects of Police Violence on Inner-City Students,0,1,0,0,0,2021,02,01
